@relation FakeAndRealProfiles-weka.filters.supervised.instance.SMOTE-C1-K5-P1000.0-S1-weka.filters.unsupervised.attribute.NumericTransform-R17-84-Cjava.lang.Math-Mceil

@attribute first-name-features:isamazonFirstNameMatchestwitterFirstName {0,1}
@attribute first-name-features:isamazonFirstNameMatchespaypalFirstName {0,1}
@attribute first-name-features:isamazonFirstNameMatcheslinkedinFirstName {0,1}
@attribute first-name-features:isamazonFirstNameMatchesgoogleFirstName {0,1}
@attribute first-name-features:isamazonFirstNameMatchesfacebookFirstName {0,1}
@attribute first-name-features:istwitterFirstNameMatchespaypalFirstName {0,1}
@attribute first-name-features:istwitterFirstNameMatcheslinkedinFirstName {0,1}
@attribute first-name-features:istwitterFirstNameMatchesgoogleFirstName {0,1}
@attribute first-name-features:istwitterFirstNameMatchesfacebookFirstName {0,1}
@attribute first-name-features:ispaypalFirstNameMatcheslinkedinFirstName {0,1}
@attribute first-name-features:ispaypalFirstNameMatchesgoogleFirstName {0,1}
@attribute first-name-features:ispaypalFirstNameMatchesfacebookFirstName {0,1}
@attribute first-name-features:islinkedinFirstNameMatchesgoogleFirstName {0,1}
@attribute first-name-features:islinkedinFirstNameMatchesfacebookFirstName {0,1}
@attribute first-name-features:isgoogleFirstNameMatchesfacebookFirstName {0,1}
@attribute first-name-features:isFacebookFirstNameMatchEmail {0,1}
@attribute facebook:numOfCheckinsAtFirstMostRecentEducationLastYear numeric
@attribute facebook:numOfCheckinsAtFirstMostRecentEducationThisYear numeric
@attribute facebook:numOfCheckinsAtSecondMostRecentEducationLastYear numeric
@attribute facebook:numOfCheckinsAtSecondMostRecentEducationThisYear numeric
@attribute facebook:numOfCheckinsAtThirdMostRecentEducationLastYear numeric
@attribute facebook:numOfCheckinsAtThirdMostRecentEducationThisYear numeric
@attribute facebook:numOfCloseFriends numeric
@attribute facebook:numOfCollegeFriends numeric
@attribute facebook:numOfCoworkers numeric
@attribute facebook:numOfEvents numeric
@attribute facebook:numOfEventsAttended numeric
@attribute facebook:numOfFamilyMembers numeric
@attribute facebook:numOfFriends numeric
@attribute facebook:numOfFriendsBirthWithinFiveYears numeric
@attribute facebook:numOfFriendsBirthWithinFourYears numeric
@attribute facebook:numOfFriendsBirthWithinOneYear numeric
@attribute facebook:numOfFriendsBirthWithinThreeYears numeric
@attribute facebook:numOfFriendsBirthWithinTwoYears numeric
@attribute facebook:numOfFriendsFromFirstMostRecentEducation numeric
@attribute facebook:numOfFriendsFromFirstMostRecentEducationWithSameGraduationYear numeric
@attribute facebook:numOfFriendsFromSecondMostRecentEducation numeric
@attribute facebook:numOfFriendsFromSecondMostRecentEducationWithSameGraduationYear numeric
@attribute facebook:numOfFriendsFromThirdMostRecentEducation numeric
@attribute facebook:numOfFriendsFromThirdMostRecentEducationWithSameGraduationYear numeric
@attribute facebook:numOfFriendsWorkingAtFirstMostRecentEducation numeric
@attribute facebook:numOfFriendsWorkingAtSecondMostRecentEducation numeric
@attribute facebook:numOfFriendsWorkingAtThirdMostRecentEducation numeric
@attribute facebook:numOfGroups numeric
@attribute facebook:numOfGroupsAdministrating numeric
@attribute facebook:numOfLikes numeric
@attribute facebook:numOfLinks numeric
@attribute facebook:numOfLocations numeric
@attribute facebook:numOfPhotos numeric
@attribute facebook:numOfPosts numeric
@attribute facebook:numOfReceivedComments numeric
@attribute facebook:numOfReceivedLikes numeric
@attribute facebook:numOfSchoolFriends numeric
@attribute facebook:numOfStatuses numeric
@attribute facebook:numOfStudentFriends numeric
@attribute facebook:numOfStudentFriendsWithinOneYearAgeDifference numeric
@attribute facebook:numOfStudentFriendsWithinThreeYearsAgeDifference numeric
@attribute facebook:numOfStudentFriendsWithinTwoYearsAgeDifference numeric
@attribute facebook:numOfStudentFriendsWithSameAge numeric
@attribute facebook:numOfTagged numeric
@attribute linkedin:numOfCompanies numeric
@attribute linkedin:numOfConnections numeric
@attribute linkedin:numOfCoworkers numeric
@attribute linkedin:numOfFriendsFromFirstMostRecentEducation numeric
@attribute linkedin:numOfFriendsFromFirstMostRecentEducationWithSameGraduationYear numeric
@attribute linkedin:numOfFriendsFromSecondMostRecentEducation numeric
@attribute linkedin:numOfFriendsFromSecondMostRecentEducationWithSameGraduationYear numeric
@attribute linkedin:numOfFriendsFromThirdMostRecentEducation numeric
@attribute linkedin:numOfFriendsFromThirdMostRecentEducationWithSameGraduationYear numeric
@attribute linkedin:numOfFriendsWorkingAtFirstMostRecentEducation numeric
@attribute linkedin:numOfFriendsWorkingAtSecondMostRecentEducation numeric
@attribute linkedin:numOfFriendsWorkingAtThirdMostRecentEducation numeric
@attribute linkedin:numOfLinkedTwitterAccounts numeric
@attribute linkedin:numOfPositions numeric
@attribute linkedin:numOfRecommendationsReceived numeric
@attribute linkedin:numOfSchoolFriends numeric
@attribute linkedin:numOfStudentFriends numeric
@attribute twitter:numOfFavoritedTweets numeric
@attribute twitter:numOfFollowers numeric
@attribute twitter:numOfFriends numeric
@attribute twitter:numOfReceivedFavorites numeric
@attribute twitter:numOfReceivedRetweets numeric
@attribute twitter:numOfRetweetedTweets numeric
@attribute twitter:numOfTweets numeric
@attribute skynet:isEverythingEmpty {0,1}
@attribute class {fake,real}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,8,0,0,0,?,0,201,2,1,1,1,1,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,2,0,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,0,1,0,0,?,0,25,7,4,4,6,3,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,0,0,2,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,48,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,5,1,2,0,1,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,9,0,0,0,?,0,150,2,3,1,1,1,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,1,10,0,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,8,0,0,0,?,0,82,2,1,1,3,2,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,10,0,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,2,2,1,0,?,0,36,6,3,6,1,5,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,3,1,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,8,0,0,0,?,0,201,3,2,2,3,2,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,1,8,0,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,8,0,1,0,?,0,192,6,6,5,6,5,0,0,?,?,?,?,0,?,?,0,?,?,?,?,5,?,2,7,0,?,2,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,7,1,1,0,?,0,220,6,7,4,7,4,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,16,2,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,5,1,0,0,?,0,146,6,6,4,6,5,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,1,10,2,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,7,0,0,0,?,0,138,4,2,2,2,3,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,1,12,0,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,2,1,0,0,?,0,114,5,5,4,5,6,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,1,2,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,10,1,0,0,?,0,47,5,6,4,6,4,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,11,1,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,8,0,1,0,?,0,108,7,5,5,5,4,0,0,?,?,?,?,0,?,?,0,?,?,?,?,3,?,2,5,0,?,2,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,7,2,1,0,?,0,258,5,5,6,5,7,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,14,3,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,10,0,0,0,?,0,190,5,3,2,2,3,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,13,0,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,3,0,0,0,?,0,89,3,2,2,3,1,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,9,0,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,6,2,1,0,?,0,248,7,4,5,6,4,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,14,2,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,1,2,1,0,?,0,142,8,7,6,7,7,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,1,13,3,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,3,1,1,0,?,0,171,8,3,6,3,4,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,8,3,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,3,2,1,0,?,0,259,8,7,6,7,7,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,1,9,3,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,1,2,1,0,?,0,76,8,3,6,1,7,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,4,2,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,2,1,2,0,?,0,127,8,8,6,7,7,0,0,?,?,?,?,0,?,?,0,?,?,?,?,4,?,2,15,3,?,2,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,3,1,1,0,?,0,150,8,6,5,7,5,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,13,1,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,3,2,1,0,?,0,227,2,5,3,1,5,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,1,14,1,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,2,1,2,0,?,0,183,8,8,6,7,7,0,0,?,?,?,?,0,?,?,0,?,?,?,?,4,?,2,12,1,?,2,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
